window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.6605361613972354,0.5917693148605533,phase9,ridge,300.0,600.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.3722621720397087,0.3406561964571799,phase9,ridge,300.0,600.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.9813121066403204,0.8169987479595574,phase9,ridge,300.0,600.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.5982533912003029,0.4407955219212948,phase9,ridge,320.0,480.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.4361012894347874,0.3937467381515207,phase9,ridge,320.0,480.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.6432201876797926,0.4903585674579262,phase9,ridge,320.0,480.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.6036317085732199,0.4864382118890415,phase9,ridge,360.0,410.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.4216229901790111,0.3595570177319351,phase9,ridge,360.0,410.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.6118238865657327,0.4932302864985008,phase9,ridge,360.0,410.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,1.2189994355355225,1.0523108943594908,phase9,ridge,300.0,600.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.7763499922297527,0.7022378026112758,phase9,ridge,300.0,600.0
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,1.158704236739251,0.9086978480062504,phase9,ridge,300.0,600.0
