dose_id,angle,band_label,wavelength_nm,reflectance
dose_2,12Oclock,320_480nm,348.5,0.1019500494003295
dose_2,12Oclock,320_480nm,349.0,0.100447950263818
dose_2,12Oclock,320_480nm,349.5,0.1008525143067041
dose_2,12Oclock,320_480nm,350.0,0.1003087038795152
dose_2,12Oclock,320_480nm,350.5,0.1002103785673776
dose_2,12Oclock,320_480nm,351.0,0.1014711136619249
dose_2,12Oclock,320_480nm,351.5,0.1017235095302263
dose_2,12Oclock,320_480nm,352.0,0.1035545791188875
dose_2,12Oclock,320_480nm,352.5,0.1019987662633259
dose_2,12Oclock,320_480nm,353.0,0.1008019546667734
dose_2,12Oclock,320_480nm,353.5,0.1012384196122487
dose_2,12Oclock,320_480nm,354.0,0.1027863025665282
dose_2,12Oclock,320_480nm,354.5,0.1044711967309315
dose_2,12Oclock,320_480nm,355.0,0.1043490643302599
dose_2,12Oclock,320_480nm,355.5,0.1063449134429295
dose_2,12Oclock,320_480nm,356.0,0.1042943249146143
dose_2,12Oclock,320_480nm,356.5,0.1075999786456425
dose_2,12Oclock,320_480nm,357.0,0.1062364578247069
dose_2,12Oclock,320_480nm,357.5,0.1036077712972958
dose_2,12Oclock,320_480nm,358.0,0.1055150901277859
dose_2,12Oclock,320_480nm,358.5,0.1045199657479921
dose_2,12Oclock,320_480nm,359.0,0.1055537636081377
dose_2,12Oclock,320_480nm,359.5,0.1041519244511922
dose_2,12Oclock,320_480nm,360.0,0.1028243650992711
dose_2,12Oclock,320_480nm,360.5,0.105058101316293
dose_2,12Oclock,320_480nm,361.0,0.1051098455985387
dose_2,12Oclock,320_480nm,361.5,0.1053905189037322
dose_2,12Oclock,320_480nm,362.0,0.1068396270275115
dose_2,12Oclock,320_480nm,362.5,0.1059167062242825
dose_2,12Oclock,320_480nm,363.0,0.1071016366283098
dose_2,12Oclock,320_480nm,363.5,0.1061661913990974
dose_2,12Oclock,320_480nm,364.0,0.1061117400725682
dose_2,12Oclock,320_480nm,364.5,0.106544775267442
dose_2,12Oclock,320_480nm,365.0,0.1074069539705911
dose_2,12Oclock,320_480nm,365.5,0.1097289596994717
dose_2,12Oclock,320_480nm,366.0,0.1082078889012336
dose_2,12Oclock,320_480nm,366.5,0.1067772184809048
dose_2,12Oclock,320_480nm,367.0,0.1098403806487718
dose_2,12Oclock,320_480nm,367.5,0.1079285666346549
dose_2,12Oclock,320_480nm,368.0,0.1046324347456295
dose_2,12Oclock,320_480nm,368.5,0.1053207988540331
dose_2,12Oclock,320_480nm,369.0,0.1058422476053237
dose_2,12Oclock,320_480nm,369.5,0.1065492903192837
dose_2,12Oclock,320_480nm,370.0,0.1101035972436269
dose_2,12Oclock,320_480nm,370.5,0.1108441824714342
dose_2,12Oclock,320_480nm,371.0,0.108243480324745
dose_2,12Oclock,320_480nm,371.5,0.1112086673577626
dose_2,12Oclock,320_480nm,372.0,0.1125186383724212
dose_2,12Oclock,320_480nm,372.5,0.1101218660672505
dose_2,12Oclock,320_480nm,373.0,0.1109348709384599
dose_2,12Oclock,320_480nm,373.5,0.1120323886473973
dose_2,12Oclock,320_480nm,374.0,0.110880081852277
dose_2,12Oclock,320_480nm,374.5,0.1103148286541302
dose_2,12Oclock,320_480nm,375.0,0.1078134352962175
dose_2,12Oclock,320_480nm,375.5,0.1078046560287475
dose_2,12Oclock,320_480nm,376.0,0.1044418116410573
dose_2,12Oclock,320_480nm,376.5,0.1035659064849217
dose_2,12Oclock,320_480nm,377.0,0.1050314158201217
dose_2,12Oclock,320_480nm,377.5,0.1081224903464316
dose_2,12Oclock,320_480nm,378.0,0.1115651528040567
